,GSM215347,GSM215348,GSM215349,GSM215350,GSM215351,GSM215352,GSM215353,GSM215354,GSM215355,GSM215356,GSM215357,GSM215358
AFFX-BioB-5_at,391.1,270.5,282.1,233.1,229.4,203.7,220.9,217.7,190.6,248.1,183.1,202.4
AFFX-BioB-M_at,474.3,318.8,344.8,322.9,318.8,361.5,288.8,277.8,269.5,360.0,281.0,295.8
AFFX-BioB-3_at,305.3,264.6,236.6,234.4,233.2,217.2,236.6,192.8,173.5,235.2,247.1,203.7
AFFX-BioC-5_at,864.9,700.0,657.2,554.0,610.1,620.6,548.8,639.6,529.3,627.7,575.6,555.6
AFFX-BioC-3_at,916.9,723.8,728.9,578.3,696.8,721.2,619.8,551.5,607.0,708.7,682.6,714.9
AFFX-BioDn-5_at,2306.6,1906.9,1850.8,1686.3,1646.3,1840.1,1621.6,1699.0,1486.0,1658.1,1697.8,1632.3
AFFX-BioDn-3_at,4961.6,3962.1,3707.0,3415.2,3647.7,3822.7,3308.2,3854.3,3196.3,3500.5,3551.9,3236.3
AFFX-CreX-5_at,14539.9,12803.1,12124.6,10950.9,10774.2,12424.0,10371.3,11745.0,9806.0,10795.4,12049.4,10349.0
AFFX-CreX-3_at,17903.5,15992.8,15481.7,13810.6,14316.9,15014.2,13428.6,14420.2,12743.5,14648.0,14451.0,13618.5
AFFX-DapX-5_at,91.0,80.9,158.7,118.4,110.8,70.6,94.4,128.1,131.3,102.3,106.5,157.9
AFFX-DapX-M_at,237.9,203.9,293.1,251.4,246.7,222.6,269.9,311.6,310.6,277.3,251.1,256.8
AFFX-DapX-3_at,443.7,275.9,476.4,340.9,340.9,315.2,366.0,484.0,457.3,391.7,409.9,358.0
AFFX-LysX-5_at,20.3,19.0,20.5,25.2,19.9,18.9,29.4,21.1,18.5,25.4,25.2,20.9
AFFX-LysX-M_at,20.8,36.4,45.0,32.5,42.6,14.3,36.2,42.1,29.7,52.5,35.0,23.1
AFFX-LysX-3_at,68.4,57.1,63.1,62.4,66.3,57.5,52.6,56.5,75.9,58.1,58.5,65.5
AFFX-PheX-5_at,12.9,25.1,44.2,16.3,20.0,32.5,17.9,30.6,17.0,30.1,29.6,34.4
AFFX-PheX-M_at,22.8,39.0,35.8,35.5,34.2,27.3,36.4,42.8,31.9,44.9,36.7,28.0
AFFX-PheX-3_at,78.6,25.9,24.6,47.9,39.5,37.2,40.5,38.6,47.5,58.3,61.5,39.2
AFFX-ThrX-5_at,32.4,31.9,31.9,10.2,52.8,11.9,39.1,37.8,48.4,26.2,42.0,34.7
AFFX-ThrX-M_at,65.2,28.8,66.2,51.1,58.9,48.8,59.3,58.3,59.5,59.7,51.8,41.6
AFFX-ThrX-3_at,112.9,88.6,123.6,102.4,124.0,136.8,118.1,179.4,129.1,153.4,155.2,131.2
AFFX-TrpnX-5_at,11.1,6.2,22.5,11.2,16.4,11.8,3.9,8.2,13.2,13.1,3.5,3.1
AFFX-TrpnX-M_at,1.5,2.4,1.5,2.3,2.1,2.2,1.6,3.2,2.4,1.1,3.2,4.8
AFFX-TrpnX-3_at,13.0,10.4,21.6,1.3,2.9,9.8,15.5,16.3,5.2,8.6,2.1,22.3
AFFX-r2-Ec-bioB-5_at,619.4,583.8,543.2,423.0,407.6,435.7,371.5,340.2,343.6,407.6,370.4,431.3
AFFX-r2-Ec-bioB-M_at,542.0,422.4,413.1,409.9,359.8,396.4,398.9,375.6,327.2,371.9,368.6,346.3
AFFX-r2-Ec-bioB-3_at,389.2,263.5,275.7,208.9,274.8,266.7,181.9,232.3,269.3,316.4,251.1,263.5
AFFX-r2-Ec-bioC-5_at,1048.9,983.6,809.3,728.3,707.2,696.1,672.0,733.9,661.0,717.9,775.0,728.3
AFFX-r2-Ec-bioC-3_at,1215.5,923.2,893.7,838.5,887.0,791.0,709.4,769.5,708.7,875.7,721.8,749.1
AFFX-r2-Ec-bioD-5_at,4576.4,3240.3,3274.0,3328.5,3090.8,3038.6,2980.6,2936.1,2991.1,3458.2,2891.2,3234.0
AFFX-r2-Ec-bioD-3_at,6325.7,4965.0,5059.0,4778.5,4561.1,4957.1,4372.0,4673.6,4196.0,4580.0,4689.3,4508.7
AFFX-r2-P1-cre-5_at,16194.1,14502.5,13693.0,13491.5,12735.8,12705.4,12223.3,12918.2,11480.7,12905.0,12837.1,12294.1
AFFX-r2-P1-cre-3_at,26919.4,23621.5,22990.4,22901.4,21245.4,21778.7,20112.6,21518.1,19158.8,21789.0,21449.4,20406.3
AFFX-r2-Bs-dap-5_at,78.2,88.0,135.2,91.0,125.6,98.2,100.9,122.4,137.9,116.5,102.6,109.8
AFFX-r2-Bs-dap-M_at,260.4,172.2,348.9,202.8,270.2,201.8,250.1,291.9,243.6,269.4,201.0,224.3
AFFX-r2-Bs-dap-3_at,365.3,235.5,401.7,330.0,337.7,275.7,365.4,378.6,404.4,348.7,355.7,355.4
AFFX-r2-Bs-lys-5_at,11.3,39.7,33.6,39.0,36.8,24.5,33.2,22.5,34.7,37.3,24.2,31.7
AFFX-r2-Bs-lys-M_at,37.7,20.3,39.2,29.7,17.9,26.7,25.1,25.3,24.2,22.8,21.0,32.9
AFFX-r2-Bs-lys-3_at,44.4,1.6,60.6,33.9,35.2,36.5,41.9,42.4,28.0,50.6,55.4,39.3
AFFX-r2-Bs-phe-5_at,37.9,27.8,43.4,31.8,48.6,20.8,24.5,29.5,24.1,31.8,23.5,33.4
AFFX-r2-Bs-phe-M_at,49.2,29.1,58.6,44.4,30.3,48.5,33.2,31.1,32.9,23.1,37.8,53.0
AFFX-r2-Bs-phe-3_at,86.2,68.9,76.6,81.8,67.3,64.4,80.4,64.8,105.0,137.0,116.2,85.9
AFFX-r2-Bs-thr-3_s_at,201.0,169.3,229.8,141.7,157.4,146.1,174.0,192.5,207.0,153.6,202.1,138.0
AFFX-r2-Bs-thr-M_s_at,94.2,101.4,134.8,96.4,82.0,100.7,107.5,120.6,145.9,144.2,131.1,108.5
AFFX-r2-Bs-thr-5_s_at,67.5,49.1,42.7,51.4,69.8,39.0,66.9,79.3,74.4,64.8,43.2,52.6
AFFX-HUMISGF3A/M97935_5_at,439.1,459.4,482.1,379.1,329.2,301.9,283.0,278.2,314.1,667.3,520.8,518.6
AFFX-HUMISGF3A/M97935_MA_at,672.2,814.3,750.8,561.9,619.3,577.6,561.6,526.5,531.8,1004.8,1234.4,930.2
AFFX-HUMISGF3A/M97935_MB_at,919.9,970.0,900.4,837.2,788.4,792.2,765.3,778.7,820.5,1346.3,1290.9,1415.7
AFFX-HUMISGF3A/M97935_3_at,1893.5,1948.5,1703.2,1531.7,1699.3,1531.5,1639.5,1603.2,1768.4,2601.4,2635.2,2438.1
AFFX-HUMRGE/M10098_5_at,366.7,186.1,1143.2,437.6,587.2,6858.1,656.7,1264.0,508.7,769.3,1158.1,367.7
AFFX-HUMRGE/M10098_M_at,465.3,187.6,902.3,432.2,408.6,5897.8,819.8,1500.0,453.2,700.4,1374.7,383.0
AFFX-HUMRGE/M10098_3_at,453.6,308.6,842.3,384.4,565.7,6364.1,597.9,915.2,507.6,533.0,1000.9,362.1
AFFX-HUMGAPDH/M33197_5_at,12011.7,15156.1,16841.2,14010.6,18010.2,12892.5,12193.9,12145.0,15309.1,14095.0,13416.0,14198.5
AFFX-HUMGAPDH/M33197_M_at,13644.7,15934.4,16596.4,15984.0,17786.2,14852.9,12948.0,13984.0,16108.7,14864.8,15358.6,14641.1
AFFX-HUMGAPDH/M33197_3_at,18012.5,19650.4,20272.6,18851.8,20754.6,18264.5,16018.9,17817.6,18565.9,18312.2,19407.5,17770.8
AFFX-HSAC07/X00351_5_at,3637.9,6749.2,6562.3,8865.6,8383.6,5612.5,4149.7,4433.3,7846.1,6040.4,5565.1,7392.5
AFFX-HSAC07/X00351_M_at,6870.8,11707.0,11458.5,13727.1,13437.7,10736.6,7938.7,8617.9,11931.7,9800.9,10820.7,10947.2
AFFX-HSAC07/X00351_3_at,23012.6,26377.6,24009.4,23494.5,25104.4,23687.5,21657.9,22650.3,21605.8,22294.1,22614.5,22028.7
AFFX-M27830_5_at,4065.1,1802.4,2515.7,2100.8,2095.3,7044.8,3164.5,3494.7,2672.7,2764.6,3089.2,2288.1
AFFX-M27830_M_at,2164.9,2234.2,2662.4,2393.2,3210.6,2448.2,2082.7,2414.4,3042.3,2431.0,2889.6,2572.7
AFFX-M27830_3_at,36.3,11.4,11.0,35.2,5.9,19.3,10.3,28.1,30.1,17.8,6.7,11.7
AFFX-hum_alu_at,37066.6,42013.0,38812.1,33372.8,37480.6,32644.1,30321.5,33295.8,29696.5,34230.6,32997.6,32129.5
1007_s_at,90.8,89.8,114.7,69.7,92.0,105.7,43.1,125.4,106.0,76.1,108.1,72.8
1053_at,196.6,242.1,288.9,292.5,262.4,360.9,375.1,356.1,423.3,278.2,329.0,274.9
117_at,17.2,36.3,30.5,40.7,38.1,29.2,33.3,31.6,65.5,34.3,28.6,30.2
121_at,170.6,201.6,228.5,172.2,156.8,146.6,133.4,160.7,168.6,216.7,176.1,168.2
1255_g_at,2.8,25.0,49.1,27.3,4.8,1.6,3.9,4.8,10.4,39.8,3.2,3.9
1294_at,214.4,263.1,182.2,148.3,138.6,132.0,119.2,127.2,163.9,197.6,228.1,146.3
1316_at,45.4,58.3,46.4,41.9,36.3,39.2,31.4,40.5,43.4,51.3,40.7,67.1
1320_at,6.5,24.4,6.4,25.1,29.9,4.9,4.0,11.5,5.5,19.3,9.3,4.6
1405_i_at,203.5,144.7,134.3,203.9,143.5,210.4,202.6,174.8,157.0,106.6,160.0,187.9
1431_at,16.3,2.9,7.6,28.0,24.2,11.2,30.6,1.9,22.0,18.5,3.2,16.1
1438_at,7.3,4.7,7.0,3.4,4.1,5.1,2.1,1.4,5.2,5.0,3.4,4.1
1487_at,217.7,295.8,269.9,409.8,375.1,343.7,304.0,332.0,375.2,337.8,318.6,250.6
1494_f_at,32.2,74.2,84.8,32.9,59.0,22.9,27.3,25.8,43.6,46.9,22.0,41.1
1598_g_at,127.0,131.2,120.7,85.1,89.3,52.5,84.1,74.8,75.8,90.4,93.3,117.2
160020_at,69.6,121.6,67.6,77.3,82.1,45.5,27.1,27.1,68.2,58.0,51.5,55.6
1729_at,442.5,576.6,401.7,559.4,516.1,523.9,436.3,453.4,475.8,454.6,550.1,451.1
1773_at,66.6,95.8,88.3,88.7,81.7,90.1,41.8,89.5,74.0,100.3,65.7,80.3
177_at,86.3,78.6,100.7,29.0,32.0,36.6,48.4,31.1,39.2,84.8,104.4,89.9
179_at,220.0,202.6,287.2,205.2,175.1,110.3,107.3,122.4,155.3,239.8,89.5,235.4
1861_at,187.5,182.6,215.6,178.1,223.2,161.7,171.4,161.4,193.9,129.9,170.1,164.4
200000_s_at,797.2,995.3,850.5,850.8,849.9,819.6,860.6,890.1,777.3,760.4,1027.5,792.0
200001_at,557.5,625.7,566.4,617.0,598.8,537.4,529.4,496.8,709.6,538.4,620.7,602.6
200002_at,10024.4,9528.6,10780.7,10930.6,11538.5,10675.2,10164.3,10627.4,11956.2,11251.7,11371.7,10847.2
200003_s_at,19974.2,20829.4,23661.4,19834.4,23497.0,20941.7,18695.5,21031.2,20490.7,22039.4,20422.9,20564.3
200004_at,10947.3,10627.9,10333.3,11057.3,10049.4,11421.8,10350.2,10313.3,10857.8,11585.6,12464.8,11474.5
200005_at,2555.6,3104.4,2746.3,2700.2,2767.4,2989.3,2846.1,2941.7,2674.1,2656.9,3104.3,2612.8
200006_at,5290.5,5938.4,7059.9,6285.7,6441.3,6333.3,6527.6,6833.1,7800.6,7162.3,6366.5,6424.1
200007_at,6043.2,7428.7,7658.7,7129.7,7125.6,6584.5,5930.6,6381.7,6695.4,7182.0,7421.0,7625.4
200008_s_at,1042.3,1433.4,1683.7,1755.9,1936.9,1451.0,1269.8,1357.5,1791.1,1468.6,1337.9,1539.4
200009_at,6275.2,6536.2,6546.4,6551.5,7020.2,7411.2,8058.1,7740.1,6459.5,6594.6,6122.2,6295.5
200010_at,10865.7,14983.2,17269.2,15374.9,16867.2,13962.3,12601.0,13045.7,15221.2,15197.3,15053.8,16389.8
200011_s_at,701.3,1038.0,710.0,772.8,675.8,725.8,629.6,641.4,772.7,732.2,943.5,876.4
200012_x_at,14934.5,13897.8,14232.7,13246.7,14025.0,13008.0,13011.5,13661.2,13326.5,13646.7,13278.7,13335.5
200013_at,17942.7,23470.5,24404.8,21200.7,24600.0,19715.7,18118.0,20745.1,22771.0,20206.4,20857.3,20162.9
200014_s_at,2955.8,2563.1,2686.9,2507.0,2283.2,2867.9,2805.1,3181.4,2507.5,2944.3,2994.6,2633.5
200015_s_at,4740.9,4521.8,4450.4,4609.9,4359.8,4509.3,4685.1,4319.3,5088.2,4605.0,4634.4,4815.2
200016_x_at,22228.7,23401.3,22807.6,17965.5,19354.9,18348.3,18877.0,20843.0,17579.0,19257.1,19712.3,19909.8
200017_at,16138.1,14591.8,16102.8,17069.2,16426.5,15301.7,15497.1,15619.8,17751.3,17134.2,15085.6,17939.2
200018_at,17083.6,17456.1,17313.2,17218.4,19414.7,16069.4,16129.6,15689.4,18138.9,18196.4,16963.2,17853.5
200019_s_at,7447.2,9615.6,11882.4,11201.7,12227.9,10675.2,8316.6,9987.8,10873.3,10144.4,10978.0,9934.7
200020_at,1785.1,2537.5,2278.7,2517.9,2604.2,2770.9,1890.5,2554.4,2472.6,2136.0,2466.6,2350.5
200021_at,4819.0,5461.9,4762.6,7274.7,7737.4,5827.4,6470.9,6543.6,7184.9,6224.2,7968.7,6032.5
200022_at,14213.8,16878.3,17543.5,17516.9,19128.4,15796.7,14024.0,15497.8,15709.8,14785.2,16744.7,16932.3
200023_s_at,7590.1,7442.9,8011.8,6646.6,6980.1,6757.5,6387.7,7086.1,6699.9,7306.1,8110.5,7249.3
200024_at,6802.2,7090.1,8586.9,8157.9,9647.1,8142.3,7298.9,8040.5,8919.8,7812.2,7871.0,8546.4
200025_s_at,19661.8,18890.1,20150.3,19300.4,20472.2,19485.4,16619.5,19291.5,18192.6,19103.0,17776.0,18453.5
200026_at,18356.4,21156.9,21810.2,18685.0,21575.8,19531.6,17650.8,19152.5,18672.0,19438.8,19552.1,19000.8
200027_at,2751.6,2344.4,2400.7,2497.3,2554.5,2656.0,3076.8,3190.5,2686.2,2624.3,2425.7,2357.4
200028_s_at,2895.5,3213.2,2678.0,3431.0,3074.1,3705.2,4152.2,3636.4,3362.0,3178.7,3255.2,3480.4
200029_at,16651.6,15519.7,17829.5,16270.8,17976.3,15905.7,15862.7,16214.7,15526.8,17063.4,16005.2,17147.1
200030_s_at,4382.6,5877.5,6113.6,5301.3,5581.0,5274.2,4925.2,5227.7,4966.4,5340.9,5813.1,5342.3
200031_s_at,17866.8,17224.7,22457.2,19692.1,22026.8,19493.6,16555.8,20369.9,17114.8,19399.3,19930.1,18031.7
200032_s_at,17770.9,17205.0,18733.2,16548.4,18168.0,16744.4,16121.2,17158.4,18130.8,19138.6,16565.4,17974.5
200033_at,9898.2,9388.3,9275.1,10349.2,11385.6,10787.8,11120.8,11256.8,11339.6,9972.9,9853.7,9825.7
200034_s_at,11576.4,12056.7,14442.2,13479.0,15542.3,13011.1,11100.7,12340.3,13335.6,13664.3,13169.9,13041.8
200035_at,312.4,248.9,360.3,343.7,334.0,413.3,292.7,307.7,250.0,339.8,357.2,202.6
200036_s_at,8959.2,9104.7,10044.0,9858.3,9976.0,10636.6,9090.0,10303.3,10559.5,10261.7,11382.6,10102.8
200037_s_at,8351.8,5551.2,6422.0,7863.0,7172.8,7327.4,8764.6,8076.0,8581.1,8101.9,6384.9,7426.4
200038_s_at,16795.0,16048.8,17125.4,16245.2,17149.8,16338.2,14783.3,16173.4,16038.3,16725.8,16722.6,15867.2
200039_s_at,1495.0,1629.1,1898.4,1879.6,2096.6,1886.4,1544.2,1874.7,2251.1,1935.0,2067.1,1865.1
200040_at,4583.5,4754.0,4403.8,3985.4,3412.5,3858.3,3657.3,4160.0,3622.4,4067.6,4965.2,4189.0
200041_s_at,939.6,1315.9,1472.6,1265.7,1644.7,1287.2,1298.5,1477.3,1487.3,1233.9,1321.4,1386.0
200042_at,1478.3,1520.8,1714.2,1634.2,1653.2,1997.9,1790.6,1742.3,1353.2,1365.8,2034.9,1367.0
200043_at,3496.9,3540.8,4767.2,4782.1,4999.7,3574.5,4008.9,3978.0,5242.6,4541.3,3379.7,4348.7
200044_at,1465.2,1530.9,1436.8,1736.7,1744.1,1441.9,1496.6,1512.0,1822.7,1602.7,1534.2,1707.3
200045_at,732.4,991.1,787.6,895.1,1023.0,940.1,856.1,829.3,869.9,775.2,915.7,743.4
200046_at,929.8,883.5,1193.7,1255.2,1507.4,1152.0,1008.8,1183.6,1281.8,1189.9,1221.9,1261.4
200047_s_at,4889.1,3782.0,3915.0,4275.3,3988.0,4212.6,4661.0,4667.9,4769.6,4254.4,3771.8,4118.4
200048_s_at,3953.2,3948.2,4155.8,5049.0,4634.1,5037.7,4301.9,4769.1,4997.6,4405.9,4715.7,4469.4
200049_at,260.2,334.7,308.7,224.7,230.0,188.9,243.1,235.5,233.2,301.1,269.1,280.8
200050_at,1084.6,971.6,1059.9,1465.7,936.8,1253.3,1165.2,1155.0,1113.1,1283.8,1096.0,1292.9
200051_at,387.4,426.8,315.9,373.8,372.5,378.2,338.6,338.4,322.6,354.1,404.6,330.3
200052_s_at,1419.7,1783.7,2016.3,1973.2,2330.8,2038.3,1832.2,1917.1,2217.7,1936.1,2174.6,1920.6
200053_at,615.4,886.6,988.4,822.1,922.9,850.9,623.1,786.5,831.6,895.7,942.2,935.9
200054_at,245.9,317.9,219.3,344.7,350.6,352.3,343.3,386.3,303.6,231.2,227.3,200.6
200055_at,643.1,727.0,730.0,677.0,697.7,729.1,608.3,662.4,860.9,713.6,752.1,722.5
200056_s_at,1004.2,740.5,728.3,761.7,672.4,640.6,765.0,714.8,896.3,820.1,805.7,884.4
200057_s_at,7138.1,9264.3,9955.0,8959.6,9455.0,8606.3,7296.1,7608.2,8325.7,9063.5,9849.2,9559.7
200058_s_at,2806.2,2867.8,2849.0,2863.4,2715.9,3111.5,3067.2,2965.1,2740.7,2930.3,3647.3,3114.2
200059_s_at,5158.5,5973.5,5837.7,5951.5,6287.8,5888.8,5799.7,5732.2,6272.7,5388.1,6227.1,5188.5
200060_s_at,1974.6,2239.1,2042.5,2958.2,2789.3,2522.1,2327.9,2255.8,2747.4,2355.7,2019.0,2471.2
200061_s_at,15854.0,18317.7,19401.5,17901.2,19218.7,17406.6,16191.5,17397.9,17798.7,17256.4,18306.7,17108.4
200062_s_at,20492.5,21903.1,22480.7,22362.6,21139.6,19627.5,17886.8,18505.8,18957.1,20519.5,25080.0,19698.8
200063_s_at,21366.2,20395.4,24025.7,20895.5,23650.6,21813.8,20715.0,20839.8,20332.1,19466.6,18453.0,20015.6
200064_at,5920.4,8479.3,8173.6,8836.0,10155.5,8491.1,8013.0,7946.8,8829.9,7123.0,8020.8,7009.9
200065_s_at,2863.2,3472.2,3161.9,4121.0,4448.5,4231.0,3684.0,3627.1,3920.2,3284.3,3672.4,3501.6
200066_at,933.3,1038.9,1069.8,927.1,892.3,1002.2,954.0,976.0,934.7,971.0,1192.1,1058.2
200067_x_at,1675.8,1001.4,896.3,832.3,972.5,970.5,1211.1,1202.4,1003.3,1111.4,859.8,935.0
200068_s_at,4447.3,5049.6,4366.0,3933.1,3912.4,4032.4,4099.4,4337.8,4142.5,4388.8,4584.2,4747.0
200069_at,325.2,338.4,290.2,373.6,340.4,373.6,389.6,416.3,289.0,290.2,382.5,357.4
200070_at,580.4,602.3,465.5,520.0,394.3,429.1,552.9,451.5,461.5,549.6,605.7,572.4
200071_at,1111.6,794.5,750.9,853.7,752.5,792.6,1022.0,1011.1,964.4,959.4,823.1,956.6
200072_s_at,1645.2,2935.3,3240.4,2488.6,2907.3,2449.2,1870.6,2324.9,2280.7,2382.6,2951.5,2784.3
200073_s_at,3223.3,3109.4,2673.4,3209.4,2798.8,3129.7,3848.1,3530.9,3402.7,2915.3,2869.6,3027.3
200074_s_at,6114.9,7262.4,8478.2,8101.7,8839.6,7153.5,6287.5,7242.6,9012.9,7989.4,7708.9,8948.8
200075_s_at,727.1,726.3,680.4,894.3,939.2,1037.3,927.6,787.2,861.0,767.6,877.2,864.8
200076_s_at,464.2,664.5,474.1,576.7,664.0,615.9,562.8,541.4,572.9,487.3,578.5,502.4
200077_s_at,9707.1,9767.1,10507.3,10451.5,11503.9,10339.3,10504.9,10889.0,11698.2,10892.3,9996.8,11029.1
200078_s_at,814.0,1047.1,1110.1,1382.4,1563.2,1247.8,1192.5,1327.9,1477.4,1134.2,1058.5,1059.8
200079_s_at,1510.0,1655.8,1488.5,1821.6,1797.8,1823.8,1674.4,1618.8,1480.1,1439.3,1692.9,1372.2
200080_s_at,18555.0,20843.6,23353.7,19392.0,19533.9,18975.3,16552.6,19644.2,18211.5,19316.4,20436.6,20983.5
200081_s_at,18325.0,19119.1,22450.0,19447.9,21833.5,19277.3,17041.1,19427.0,16471.7,18495.8,18188.1,18521.5
200082_s_at,9931.2,11371.9,12769.6,13042.8,13741.8,11120.7,10114.6,10495.9,13229.3,11829.1,11530.7,12001.1
200083_at,2198.4,2901.5,2405.3,2031.3,2038.2,2132.8,1995.5,1983.5,1980.4,2339.7,3142.1,2506.6
200084_at,2379.8,2089.6,2225.7,1991.7,2126.1,2061.2,2264.6,2338.3,2338.7,2139.2,2077.2,2188.2
200085_s_at,5046.4,4958.4,5096.2,4848.4,5692.6,5611.1,5409.0,5913.7,5391.1,5172.5,5548.0,5113.2
200086_s_at,6389.0,6823.9,7277.0,6299.5,6523.3,7205.7,6230.0,6694.5,6667.8,7078.7,7058.8,6944.8
200087_s_at,3147.4,2641.4,2945.6,3036.3,3170.9,3093.6,3274.3,3144.8,3316.4,3047.1,2748.3,3074.3
200088_x_at,20650.5,24822.6,26237.6,21590.4,24278.7,23838.5,20323.0,23961.4,22941.1,23311.2,25831.2,21537.2
200089_s_at,11261.3,11239.1,12364.0,11642.7,12122.7,12133.8,11332.3,12248.2,12243.8,12185.7,12079.4,11988.5
200090_at,1480.4,1446.4,1461.0,1656.7,1803.8,1461.9,1846.1,1985.8,1752.8,1538.9,1601.5,1371.0
200091_s_at,6924.9,6713.7,8836.6,9189.1,8446.1,8038.9,7601.9,7876.6,9415.8,8221.3,7609.3,9572.2
200092_s_at,22934.1,24907.8,24416.5,22654.5,22715.4,21881.8,19817.1,21922.3,20292.8,22842.8,23840.1,22075.3
200093_s_at,7140.9,6520.7,6745.4,7866.6,6811.5,7450.5,6825.7,7142.9,7402.1,5903.5,7471.1,7538.9
200094_s_at,10243.5,8686.7,8625.7,8768.0,7478.4,9245.3,9160.9,9074.6,8976.1,9118.1,10137.8,9030.9
200095_x_at,17891.0,18730.0,20840.3,18409.9,20401.9,18480.0,16819.4,18913.9,18965.0,19841.9,19536.0,19143.6
200096_s_at,3787.3,3905.7,4513.8,4330.3,4613.7,4059.0,3939.0,4203.4,4963.7,4672.8,4604.7,4746.5
200097_s_at,4961.2,4108.7,4282.8,4983.6,4523.6,5216.8,4900.8,5345.7,5057.0,4673.0,4791.3,4471.9
200098_s_at,1552.8,1507.8,1539.4,1422.7,1324.0,1524.4,1437.3,1435.2,1282.3,1659.9,1680.1,1718.1
200099_s_at,23348.4,21864.8,22304.2,21066.9,22426.6,21693.4,20145.6,22943.7,21805.7,22085.3,19757.4,20672.8
200593_s_at,891.2,1185.3,1239.4,1115.4,1442.7,1028.5,1199.7,1019.9,1452.0,1190.2,1062.4,1257.9
200594_x_at,7147.5,7032.3,6343.9,6985.9,6683.6,7275.2,6866.5,7206.5,6700.8,6550.4,6942.0,6482.3
200595_s_at,2890.7,1720.7,1882.9,2793.6,2362.2,2822.3,2562.3,2605.9,2308.9,2131.1,2020.1,2195.1
200596_s_at,955.8,976.4,885.5,1598.6,1157.9,1912.5,1460.4,1461.3,1094.9,956.5,1256.1,841.2
200597_at,154.9,141.9,188.2,170.6,237.1,135.2,170.1,148.6,203.4,162.0,162.2,218.7
200598_s_at,1169.8,1213.2,1379.8,1902.8,1717.4,1737.8,1752.9,1752.8,1412.0,1216.2,1033.3,1156.8
200599_s_at,2833.9,2332.1,2722.4,3894.1,3483.2,4626.1,3545.4,4482.1,3938.5,2809.8,3098.8,3043.9
200600_at,1243.5,1584.1,1312.0,1640.4,1335.1,1520.8,1330.3,1324.2,1599.7,1373.2,1631.4,1411.9
200601_at,311.7,372.3,327.0,333.8,440.5,518.5,382.1,352.6,452.3,396.3,416.7,348.1
200602_at,1631.4,1591.1,1672.5,1232.3,1311.4,1325.0,1327.7,1419.5,1300.0,1423.6,1625.4,1662.7
200603_at,5575.4,4777.4,5007.4,5789.3,4885.8,5147.9,5249.5,5552.6,6193.1,5733.9,4876.4,5217.1
200604_s_at,281.4,537.8,541.4,727.0,771.0,403.0,389.2,416.9,727.4,520.4,390.6,589.7
200605_s_at,2605.0,2661.3,2807.4,2660.1,2699.5,2630.5,2639.9,2479.9,2719.9,2613.9,2585.2,2588.5
200606_at,3.3,4.4,13.4,5.3,5.5,6.0,2.0,9.3,12.5,13.5,18.9,1.4
200607_s_at,3868.3,3674.3,3738.6,2468.6,2550.9,2599.5,2764.7,2705.1,2289.8,3749.8,3732.0,3498.8
200608_s_at,11036.5,7540.8,9292.0,7363.6,7094.9,8370.9,8538.5,8596.4,8596.3,10590.4,10731.0,10047.8
200609_s_at,1949.0,2332.5,2411.1,3468.4,3131.0,3026.1,2580.6,2961.1,3151.4,2265.7,2667.9,2457.5
200610_s_at,2705.6,3007.6,3071.6,4754.2,4451.4,4925.2,4428.5,4291.9,5032.6,3267.3,3431.3,3611.3
200611_s_at,972.9,1247.6,1119.7,1422.2,1527.3,1284.0,1294.5,1207.9,1469.6,1125.1,1310.0,1213.1
200612_s_at,505.4,718.0,570.5,560.1,589.9,553.0,468.5,631.1,498.5,543.9,617.6,455.7
200613_at,1033.4,1523.5,1430.0,1436.2,1419.9,1265.1,1174.8,1210.9,1180.2,1091.6,1485.4,1139.2
200614_at,5171.4,6354.5,5971.6,5381.9,5648.0,6312.3,6135.4,6393.0,5362.8,5803.9,5673.6,5279.9
200615_s_at,538.5,579.8,586.4,546.2,584.3,520.5,551.5,522.3,455.6,459.4,550.8,570.6
200616_s_at,766.5,487.4,707.4,683.9,723.3,1197.6,911.1,1173.3,553.8,580.1,510.0,584.5
200617_at,353.9,330.2,301.1,389.8,367.6,360.5,373.9,346.8,247.0,318.7,410.2,337.5
200618_at,1223.2,1491.7,1269.8,1339.8,1408.6,1447.7,1170.8,1184.8,1313.3,1162.4,1620.7,1218.6
200619_at,630.8,1002.6,853.8,776.2,763.0,958.3,840.9,749.8,729.5,685.0,1073.8,806.3
200620_at,1588.8,1635.0,1857.9,1298.0,1594.7,1412.1,1293.9,1428.8,1519.5,1737.1,1617.0,1749.9
200621_at,170.2,245.8,191.6,185.6,175.0,213.9,128.0,164.2,190.6,234.6,210.1,141.2
200622_x_at,358.6,605.7,585.8,547.5,604.2,470.8,369.9,486.7,609.8,636.6,536.9,489.7
200623_s_at,315.3,417.9,228.3,355.8,326.5,264.3,276.6,297.5,339.1,307.1,397.2,294.7
200624_s_at,2959.0,2663.5,2660.2,2360.8,2083.7,2513.3,2458.9,2317.7,2383.6,2592.2,2691.6,2588.6
200625_s_at,2413.9,2686.8,2312.9,2881.7,2771.5,3028.9,2653.2,2816.1,2250.4,2326.4,2999.9,2610.7
200626_s_at,4415.4,4204.6,3972.3,3825.0,3327.2,3846.8,3915.9,3916.8,3615.7,4023.9,4064.5,4139.0
200627_at,3922.6,4289.4,4233.2,5376.2,5190.6,5216.8,5283.8,4945.5,5057.8,4109.1,4038.4,4379.9
